 Combined Treatments,Cmic (mg/kg),Nmic (µg (g soil)-1),Cmic/Nmic (ratio)
nFL-nFER,356.2698164,13.03753373,27.32647322
nFL-nFER,299.180282,10.11461332,29.57901331
nFL-nFER,355.4994717,17.86489781,19.89932859
nFL-nFER,290.1292417,12.5974597,23.03077355
nFL-nFER,347.1710197,21.22472965,16.35691128
nFL-nFER,315.6905531,17.19553549,18.35886723
nFL-FER,303.2051433,7.417177401,40.87877732
nFL-FER,263.0598168,2.184593496,120.4159114
nFL-FER,304.7449324,11.02361177,27.64474465
nFL-FER,212.8796799,2.160780324,98.51981597
nFL-FER,316.9698952,14.21192462,22.30309432
nFL-FER,190.9022965,7.719564558,24.72967161
FL-nFER,569.0825257,19.29604415,29.49218613
FL-nFER,464.3006036,15.5351723,29.88705852
FL-nFER,560.1868756,16.12385792,34.74273206
FL-nFER,448.3525445,16.89139334,26.54325404
FL-nFER,536.7695167,15.57620768,34.46086028
FL-nFER,320.9110146,13.84499963,23.1788388
FL-FER,730.0083163,23.61031029,30.91904797
FL-FER,653.1426294,24.54031477,26.61508768
FL-FER,725.4069209,30.24777344,23.98215929
FL-FER,712.6124789,28.43472831,25.06134299
FL-FER,554.8714177,28.31320241,19.59762127
FL-FER,680.1931651,23.78928381,28.59241878
